Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Bergner,"Bergner TriPro Tri-Ply Stainless Steel Kadai with Lid (24cm, 3.1 L, Induction Bottom)",791027,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,TriPro,"Tripro Triply Stainless Steel Omlette Pan (18cm, Induction Bottom)",532583,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Bergner,"Bergner BE Essentials Tripro Triply Stainless Steel Frypan (24cm, 1.5L, Induction Bottom)",181147,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Cast Iron,Bergner,"Bergner Eco Cast Iron Dosa Tawa (28cm, Black)",832067,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Tosaa,"Tosaa Triply Mini Fry Pan (590ml, 3-Ply Stainless Steel, Non-Stick, Induction & Gas Compatible)",196847,Level 2: Pricing Exclusivity,Yes,Yes,True
New Comm,Cookware,Saucepans,Cookware,Healthier Cooking,Triply,TriPro,"Tripro Triply Stainless Steel Saucpan (14cm, Induction Bottom)",382450,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Bergner,"Bergner Tripro Triply Stainless Steel Induction Bottom Cookware Set with Lid (4 Pieces, Kadai - 2.1L, Frypan - 1L, Teapan - 1.1L, Silver)",511410,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,Tramontina,"Tramontina Non-Stick Ceramic Coating Stainless Steel Handle with Silicone Grip Frypan (20cm, Gas Stove Compatible)",693707,Level 2: Pricing Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Tosaa,"Tosaa Triply Mini Sauce Pan (700ml, 3-Layer Base for Even Heating, Mini Sauce Pan, Dishwasher Safe, Cool-Touch Handle)",936392,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Bergner,"Bergner Tripro Triply Stainless Steel Induction Bottom Cookware Set (3 Pieces, Kadai - 2.1L, Frypan - 1L, Teapan - 1.1L, Silver)",228018,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner TriPro Tri-Ply Stainless Steel 3 L Outer Lid Pressure Cooker,121492,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Saucepans,Cookware,Healthier Cooking,Triply,Bergner,"Bergner BE Essentials Tri-Ply Stainless Steel Coffee/Milk Warmer (12cm, 800ml, Induction Bottom)",240924,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,SOLARA,Solara Essentials Triply Cookware Combo 3pcs Set Fry Pan & Kadai with Steel Lid,283665,Level 3: Complete SKU Exclusivity,Yes,Yes,True
